0e94 start_logger              160 ---- 2023/06/18 18:42:56.275 -------------------------------------------------
0e94 start_logger              166 Host process is 'cmd.exe' (pid 3732)
0e94 start_logger              170 DLL path is 'C:\Users\Joshua.000\Documents\School\software engineering\VCS\cmder - Copy\vendor\clink'
0e94 start_logger              185 Windows version 10.0.19045 (x64)
0e94 start_logger              188 Clink version 1.4.4.7fe1ca (x64)
0e94 hook_setter::hook_setter  159 >>> Started hook transaction.
0e94 hook_setter::attach_iat   316 Attempting to hook SetEnvironmentVariableW in IAT for module 00007FF69EE40000.
0e94 pe_info::iterate_imports  159 Found import in 'api-ms-win-core-processenvironment-l1-1-0.dll'
0e94 find_iat                  124 Found import at 00007FF69EE73860 (value is 00007FFB41412FC0).
0e94 hook_setter::attach_iat   316 Attempting to hook WriteConsoleW in IAT for module 00007FF69EE40000.
0e94 pe_info::iterate_imports  159 Found import in 'api-ms-win-core-console-l1-1-0.dll'
0e94 find_iat                  124 Found import at 00007FF69EE734F8 (value is 00007FFB413B76D0).
0e94 hook_setter::attach_iat   316 Attempting to hook GetEnvironmentVariableW in IAT for module 00007FF69EE40000.
0e94 pe_info::iterate_imports  159 Found import in 'api-ms-win-core-processenvironment-l1-1-0.dll'
0e94 find_iat                  124 Found import at 00007FF69EE73880 (value is 00007FFB413D5430).
0e94 hook_setter::commit       207 <<< Hook transaction committed.
0e94 hook_setter::hook_setter  159 >>> Started hook transaction.
0e94 hook_setter::detach_iat   359 Attempting to unhook 00007FFAF4009710 from GetEnvironmentVariableW in IAT for module 00007FF69EE40000.
0e94 pe_info::iterate_imports  159 Found import in 'api-ms-win-core-processenvironment-l1-1-0.dll'
0e94 find_iat                  124 Found import at 00007FF69EE73880 (value is 00007FFAF4009710).
0e94 hook_setter::commit       207 <<< Hook transaction committed.
0e94 hook_setter::hook_setter  159 >>> Started hook transaction.
0e94 hook_setter::attach_iat   316 Attempting to hook ReadConsoleW in IAT for module 00007FF69EE40000.
0e94 pe_info::iterate_imports  159 Found import in 'api-ms-win-core-console-l1-1-0.dll'
0e94 find_iat                  124 Found import at 00007FF69EE734E0 (value is 00007FFB414C09E0).
0e94 hook_setter::commit       207 <<< Hook transaction committed.
0e94 hook_setter::hook_setter  159 >>> Started hook transaction.
0e94 hook_setter::attach_iat   316 Attempting to hook SetConsoleTitleW in IAT for module 00007FF69EE40000.
0e94 pe_info::iterate_imports  159 Found import in 'api-ms-win-core-console-l2-2-0.dll'
0e94 find_iat                  124 Found import at 00007FF69EE73558 (value is 00007FFB414269E0).
0e94 hook_setter::commit       207 <<< Hook transaction committed.
0e94 win_screen_buffer::begin  228 Using native terminal support; found 'ConEmuHk64.dll'.
0e94 host_lua::load_scripts    158 Loaded 2 Lua scripts in 131 ms
0e94 =?                          0 Clink updater: too soon to check for updates (1687124787 vs 1687128179).
0e94 history_db::initialise   1264 master bank ctag: |CTAG_1687124773_108949921_5424_0
0e94 history_db::compact      1526 History:  38 active, 67 deleted
0e94 history_db::compact      1526 History:  38 active, 68 deleted
0e94 history_db::compact      1526 History:  38 active, 69 deleted
0e94 history_db::compact      1526 History:  38 active, 70 deleted
0e94 history_db::compact      1526 History:  39 active, 70 deleted
0e94 history_db::compact      1526 History:  39 active, 71 deleted
0e94 history_db::compact      1526 History:  39 active, 72 deleted
0e94 history_db::compact      1526 History:  39 active, 73 deleted
0e94 history_db::compact      1526 History:  39 active, 74 deleted
0e94 history_db::compact      1526 History:  39 active, 75 deleted
0e94 history_db::compact      1526 History:  39 active, 76 deleted
0e94 history_db::compact      1526 History:  39 active, 77 deleted
0e94 history_db::compact      1526 History:  40 active, 77 deleted
0e94 history_db::compact      1526 History:  40 active, 78 deleted
0e94 history_db::compact      1526 History:  40 active, 79 deleted
0e94 history_db::compact      1526 History:  40 active, 80 deleted
0e94 history_db::compact      1526 History:  40 active, 81 deleted
0e94 history_db::compact      1526 History:  40 active, 82 deleted
0e94 history_db::compact      1526 History:  40 active, 83 deleted
0e94 history_db::compact      1526 History:  40 active, 84 deleted
0e94 history_db::compact      1526 History:  40 active, 85 deleted
0e94 history_db::compact      1526 History:  41 active, 85 deleted
0e94 history_db::compact      1526 History:  41 active, 86 deleted
0e94 history_db::compact      1526 History:  41 active, 87 deleted
0e94 history_db::compact      1526 History:  41 active, 88 deleted
0e94 history_db::compact      1526 History:  42 active, 88 deleted
0e94 history_db::compact      1526 History:  43 active, 88 deleted
0e94 history_db::compact      1526 History:  43 active, 89 deleted
0e94 history_db::compact      1526 History:  44 active, 89 deleted
0e94 history_db::compact      1526 History:  44 active, 90 deleted
0e94 history_db::compact      1526 History:  44 active, 91 deleted
